ENSMUSG00000059920.9	4930453N24RIK	ENSMUSG00000059920
ENSMUSG00000047141.5	ZFP654	ENSMUSG00000047141
ENSMUSG00000022864.13	D16ERTD472E	ENSMUSG00000022864
ENSMUSG00000021614.16	VCAN	ENSMUSG00000021614
ENSMUSG00000005667.8	MTHFD2	ENSMUSG00000005667
ENSMUSG00000070695.4	CNTNAP5A	ENSMUSG00000070695
ENSMUSG00000018417.14	MYO1B	ENSMUSG00000018417
ENSMUSG00000001674.11	DDX18	ENSMUSG00000001674
ENSMUSG00000020462.14	CFAP36	ENSMUSG00000020462
ENSMUSG00000020463.15	SMEK2	ENSMUSG00000020463
ENSMUSG00000020459.14	MTIF2	ENSMUSG00000020459
ENSMUSG00000020458.16	RTN4	ENSMUSG00000020458
ENSMUSG00000042208.15	0610010F05RIK	ENSMUSG00000042208
ENSMUSG00000020286.12	1700093K21RIK	ENSMUSG00000020286
ENSMUSG00000047227.4	GM527	ENSMUSG00000047227
ENSMUSG00000021067.7	SAV1	ENSMUSG00000021067
ENSMUSG00000034761.15	MAP4K5	ENSMUSG00000034761
ENSMUSG00000020949.8	FKBP3	ENSMUSG00000020949
ENSMUSG00000031843.2	MPHOSPH6	ENSMUSG00000031843
ENSMUSG00000025610.7	MAP3K7CL	ENSMUSG00000025610
ENSMUSG00000031952.5	CHST5	ENSMUSG00000031952
ENSMUSG00000025903.14	LYPLA1	ENSMUSG00000025903
ENSMUSG00000048249.14	CREBRF	ENSMUSG00000048249
ENSMUSG00000109372.1	GM19410	ENSMUSG00000109372
ENSMUSG00000022752.8	TOMM70A	ENSMUSG00000022752
ENSMUSG00000022724.15	MINA	ENSMUSG00000022724
ENSMUSG00000043336.14	FILIP1L	ENSMUSG00000043336
ENSMUSG00000031785.16	ADGRG1	ENSMUSG00000031785
ENSMUSG00000050271.12	D8ERTD82E	ENSMUSG00000050271
ENSMUSG00000039633.6	LONRF1	ENSMUSG00000039633
ENSMUSG00000031532.6	SARAF	ENSMUSG00000031532
ENSMUSG00000015852.13	FCRLS	ENSMUSG00000015852
ENSMUSG00000041734.15	KIRREL	ENSMUSG00000041734
ENSMUSG00000050788.5	OLFR419	ENSMUSG00000050788
ENSMUSG00000051509.6	OLFR414	ENSMUSG00000051509
