ENSHGLG00000002435	4930453N24RIK
ENSHGLG00000001844	ZFP654
ENSHGLG00000004864	D16ERTD472E
ENSHGLG00000010244	VCAN
ENSHGLG00000007115	MTHFD2
ENSHGLG00000008731	CNTNAP5A
ENSHGLG00000001644	MYO1B
ENSHGLG00000016324	DDX18
ENSHGLG00000008137	CFAP36
ENSHGLG00000007808	SMEK2
ENSHGLG00000009152	MTIF2
ENSHGLG00000027971	RTN4
ENSHGLG00000013196	0610010F05RIK
ENSHGLG00000019155	1700093K21RIK
ENSHGLG00000009782	GM527
ENSHGLG00000014486	SAV1
ENSHGLG00000011509	MAP4K5
ENSHGLG00000012484	FKBP3
ENSHGLG00000019140	MPHOSPH6
ENSHGLG00000015419	MAP3K7CL
ENSHGLG00000011601	CHST5
ENSHGLG00000015507	LYPLA1
ENSHGLG00000017817	CREBRF
ENSHGLG00000006746	GM19410
ENSHGLG00000004139	TOMM70A
ENSHGLG00000003242	MINA
ENSHGLG00000019614	FILIP1L
ENSHGLG00000013378	ADGRG1
ENSHGLG00000006007	D8ERTD82E
ENSHGLG00000005681	LONRF1
ENSHGLG00000004133	SARAF
ENSHGLG00000008016	FCRLS
ENSHGLG00000016598	KIRREL
ENSHGLG00000020506	OLFR419
ENSHGLG00000020301	OLFR414
ENSHGLG00000021087	OLFR427
ENSHGLG00000005501	CES1A
ENSHGLG00000002467	EXOSC9
ENSHGLG00000016304	MRPS17
ENSHGLG00000011518	SUMF2
ENSHGLG00000018707	TDRD3
ENSHGLG00000011314	ADGRL1
ENSHGLG00000018263	DDX39
ENSHGLG00000015605	PKN1
ENSHGLG00000004595	1700067K01RIK
ENSHGLG00000002758	SEC24D
ENSHGLG00000007762	CYP4F39
ENSHGLG00000015442	GM5901
ENSHGLG00000021287	OLFR661
ENSHGLG00000020957	OLFR711
ENSHGLG00000010999	ZFP703
ENSHGLG00000009779	NKX6-3
ENSHGLG00000007052	EIF4G2
ENSHGLG00000007548	SEH1L
ENSHGLG00000003171	RAB11FIP1
ENSHGLG00000006384	ZFP143
ENSHGLG00000004079	ADAM5
ENSHGLG00000007585	TXNDC2
ENSHGLG00000003941	SLMO1
ENSHGLG00000020090	ADAM6A
ENSHGLG00000021062	OLFR691
ENSHGLG00000021275	OLFR688
ENSHGLG00000021230	OLFR686
ENSHGLG00000021343	OLFR685
ENSHGLG00000021233	OLFR684
ENSHGLG00000021059	OLFR683
ENSHGLG00000010640	OLFR678
ENSHGLG00000020541	OLFR677
ENSHGLG00000020364	OLFR670
ENSHGLG00000021173	OLFR669
ENSHGLG00000018336	OLFR656
ENSHGLG00000021339	OLFR655
ENSHGLG00000003199	4930432K21RIK
ENSHGLG00000020315	OLFR513
ENSHGLG00000020988	OLFR715
ENSHGLG00000021384	OLFR17
ENSHGLG00000021104	OLFR713
ENSHGLG00000021176	OLFR2
ENSHGLG00000020771	OLFR6
ENSHGLG00000019752	OLFR239
ENSHGLG00000020442	OLFR1356
ENSHGLG00000009361	KCNH1
ENSHGLG00000004606	LAMB3
ENSHGLG00000004361	DIEXF
ENSHGLG00000012394	ERBIN
ENSHGLG00000013303	6030458C11RIK
ENSHGLG00000014775	CTGF
ENSHGLG00000017932	PERP
ENSHGLG00000011731	PHACTR2
ENSHGLG00000012831	LTV1
ENSHGLG00000009502	GPATCH11
ENSHGLG00000009444	CEBPZOS
ENSHGLG00000005503	SPAST
ENSHGLG00000014802	SULT1C1
ENSHGLG00000005025	IL1F6
ENSHGLG00000011114	1500015O10RIK
ENSHGLG00000009244	AI597479
ENSHGLG00000006883	IL1F8
ENSHGLG00000009608	WDYHV1
ENSHGLG00000014989	TMEM65
ENSHGLG00000018372	TATDN1
ENSHGLG00000013191	E430025E21RIK
ENSHGLG00000009526	SEPT10
ENSHGLG00000012844	SLC20A1
ENSHGLG00000002043	MFSD14A
ENSHGLG00000001402	PLPPR5
ENSHGLG00000005084	PTPN18
ENSHGLG00000014345	SAMT2
ENSHGLG00000007575	PKP4
ENSHGLG00000004553	GPD2
ENSHGLG00000019405	VMN2R1
ENSHGLG00000014451	NMD3
ENSHGLG00000017347	RDX
ENSHGLG00000016541	KDELC2
ENSHGLG00000019192	E130311K13RIK
ENSHGLG00000004272	ACAT1
ENSHGLG00000003693	GM684
ENSHGLG00000019165	AI593442
ENSHGLG00000004459	KRR1
ENSHGLG00000019469	GM572
ENSHGLG00000001600	CYB5RL
ENSHGLG00000009940	KAZN
ENSHGLG00000008111	OSBPL8
ENSHGLG00000003757	LIN7A
ENSHGLG00000001648	MAGOH
ENSHGLG00000012230	POLD3
ENSHGLG00000005485	MAP6
ENSHGLG00000007651	TMEM56
ENSHGLG00000016429	ACSL6
ENSHGLG00000006117	SH3GLB1
ENSHGLG00000011743	RUFY2
ENSHGLG00000007976	SEPT8
ENSHGLG00000011321	HNRNPH3
ENSHGLG00000011042	PBLD2
ENSHGLG00000011940	GLMN
ENSHGLG00000012510	1700028K03RIK
ENSHGLG00000004684	FAM69A
ENSHGLG00000004717	RPL5
ENSHGLG00000005267	EVI5
ENSHGLG00000008512	HS2ST1
ENSHGLG00000017987	GM5431
ENSHGLG00000016203	TNIP1
ENSHGLG00000013186	ARHGAP29
ENSHGLG00000004782	ZFP326
ENSHGLG00000004912	GBP5
ENSHGLG00000008509	GBP2B
ENSHGLG00000004456	KYAT3
ENSHGLG00000004452	2410004B18RIK
ENSHGLG00000008786	ZFP644
ENSHGLG00000018565	HNRNPH1
ENSHGLG00000003407	UCHL5
ENSHGLG00000002466	ST7
ENSHGLG00000002226	ASZ1
ENSHGLG00000019564	ZFP24
ENSHGLG00000001190	FAM150B
